Reference,Text
Genesis 1:1,"In the beginning, God created the Heavens and the earth."
Genesis 1:26,"Let Us make man in Our image, after our likeness."
Genesis 1:27,"So God created man in His own image, in the image of God He created them, male and female He created them."
Genesis 2:3,"So God blessed the seventh day and made it holy, because on it God rested from all His work that He had done in creation."
Genesis 2:7,Then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life.
Genesis 2:23,"This at last is bone of my bones and flesh of my flesh; she shall be called Woman, because she was taken out of Man."
Genesis 2:24,"Therefore a man shall leave his father and his mother and hold fast to his wife, and they shall become one flesh."
Genesis 3:19,"For you are dust, and to dust you shall return."
Genesis 8:17,Be fruitful and multiply on the earth.
Genesis 8:21,I will never again curse the ground because of man... Neither will I ever again strike down every living thing as I have done.
Genesis 9:13,"I have set my bow in the cloud, and it shall be a sign of the covenant between me and the earth."
Genesis 12:2-3,"And I will make of you a great nation, and I will bless you and make your name great... And in you all the families of the earth shall be blessed."
Genesis 13:16,I will make your offspring as the dust of the earth.
Genesis 15:5,"Look toward Heaven, and number the stars, if you are able to number them... So shall your offspring be."
Genesis 18:14,Is anything too hard for the LORD?
Genesis 28:15,"Behold, I am with you and will keep you wherever you go."
Genesis 28:16,"Surely the LORD is in this place, and I did not know it."
Genesis 32:10,I am not worthy of the least of all the deeds of steadfast love and all the faithfulness that you have shown.
Genesis 50:20,"You meant evil against me, but God meant it for good."
Exodus 3:14,I AM WHO I AM.
Exodus 4:12,I will be with your mouth and teach you what you shall speak.
Exodus 5:1,Let my people go.
Exodus 6:6,I will redeem you with an outstretched arm.
Exodus 6:7,"I will take you to be my people, and I will be your God."
Exodus 8:19,This is the finger of God.
Exodus 9:29,The earth is the LORD's.
Exodus 14:13,"Fear not, stand firm, and see the salvation of the LORD, which He will work for you today."
Exodus 14:14,"The LORD will fight for you, and you have only to be silent."
Exodus 15:2,The LORD is my strength and my song.
Exodus 23:2,You shall not fall in with the many to do evil.
Exodus 23:7,I will not acquit the wicked.
Exodus 23:22,I will be an enemy to your enemies and an adversary to your adversaries.
Exodus 33:14,"My presence will go with you, and I will give you rest."
Exodus 33:19,"I will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy."
Exodus 33:20,Man shall not see me and live.
Exodus 34:6-7,"A God merciful and gracious, slow to anger, and abounding in steadfast love and faithfulness, keeping steadfast love for thousands, forgiving iniquity and sin, but who will by no means clear the guilty."
Leviticus 11:45,"You shall therefore be holy, for I am holy."
Leviticus 17:11,It is by the blood that makes atonement by the life.
Leviticus 19:18,You shall love your neighbor as yourself.
Leviticus 20:8,I am the LORD who sanctifies you.
Numbers 6:24-26,The LORD bless you and keep you; the LORD make His face to shine upon you and be gracious to you; the LORD lift up His countenance upon you and give you peace.
Numbers 9:16,The cloud covered it by day and the appearance of fire by night.
Numbers 11:29,"Would that all the LORD's people were prophets, that the LORD would put His spirit on them."
Numbers 14:43,"Because you have turned back from following the LORD, the LORD will not be with you."
Numbers 23:19,"God is not man, that He should lie, or a son of man, that He should change His mind."
Deuteronomy 3:22,"You shall not fear them, for it is the LORD your God who fights for you."
Deuteronomy 4:7,For what great nation is there that has a god so near to it as the LORD our God is to us?
Deuteronomy 4:29,"You will seek the LORD your God and you will find Him, if you search after Him with all your heart adn all your soul."
Deuteronomy 4:35,The LORD is God; there is no other besides Him.
Deuteronomy 6:5,You shall love the LORD your God with all your heart and with all your soul and with all your might.
Deuteronomy 6:16,You shall not put the LORD your God to the test.
Deuteronomy 7:6,The LORD your God has chosen you.
Deuteronomy 7:21,"The LORD your God is in your midst, a great and awesome God."
Deuteronomy 8:3,"Man does not live by bread alone, but man lives by every word that comes from the mouth of the LORD."
Deuteronomy 8:5,"As a man disciplines his son, the LORD your God disciplines you."
Deuteronomy 8:16,"He might humble you and test you, to do you good in the end."
Deuteronomy 10:17,"The LORD your God is God of gods and Lord of lords, the great, mighty, and the awesome God."
Deuteronomy 11:18,Lay up these words of mine in your heart and in your soul.
Deuteronomy 20:4,The LORD your God is He who goes with you to fight for you against your enemies.
Deuteronomy 26:11,Rejoice in all the good that the LORD your God has given to you.
Deuteronomy 29:29,"The secret things belong to the LORD our God, bu teh things that are revealed belong to us and to our children forever."
Deuteronomy 30:19,"I have set before you life and death, blessing and curse. Therefore choose life."
Deuteronomy 31:6,Be strong and courageous... for it is the LORD your God who goes with you. He will not leave you or forsake you.
Deuteronomy 32:47,"It is no empty word for you, but your very life, and by this word you shall live."
Job 1:21,"The LORD gave, and the LORD has taken away; blessed be the name of the LORD."
Job 5:17,Blessed is the one whom God reproves; therefore despise not the discipline of the Almighty.
Job 6:14,He who withholds kindness from a friend forsakes the fear of the Almighty.
